Caso,Nodos,Aristas,Greedy_Hojas,Greedy_Tiempo,BL_Hojas,BL_Tiempo,ILS_Hojas,ILS_Tiempo
Regular d=4 (500),500,1000,226,0.06271886825561523,255,2.678131103515625,254,5.058443546295166
Regular d=4 (1000),1000,2000,455,0.2646214962005615,505,4.021932125091553,504,5.130724906921387
Regular d=4 (1500),1500,3000,691,0.6560094356536865,741,6.984636068344116,732,5.095022201538086
Regular d=4 (2000),2000,4000,905,1.1026556491851807,955,5.961204528808594,955,7.630337476730347
Regular d=4 (2500),2500,5000,1152,1.733069658279419,1202,11.955992937088013,1166,5.337413549423218
