Caso,Nodos,Aristas,Greedy_Hojas,Greedy_Tiempo,BL_Hojas,BL_Tiempo,ILS_Hojas,ILS_Tiempo
Malla 8x8,64,112,24,0.000682830810546875,24,0.00394749641418457,36,2.0000290870666504
Malla 16x16,256,480,56,0.006864070892333984,56,0.03163909912109375,125,2.008681058883667
Watts-Strogatz (100),100,300,66,0.007899999618530273,67,0.058940887451171875,69,2.00223445892334
Barabasi-Albert (100),100,291,83,0.008556842803955078,83,0.03623199462890625,83,2.000345468521118
Regular d=4 (100),100,200,44,0.002440214157104492,49,0.044753074645996094,57,2.0134551525115967
Aleatorio ER (100),100,402,74,0.014020204544067383,74,0.06448626518249512,75,2.019103527069092
